# SYNTHETIC FIXTURE - generated deterministically for this project's tests
year,co2_ppm
1959,316.000
1960,316.902
1961,317.806
1962,318.715
1963,319.626
1964,320.540
1965,321.458
1966,322.379
1967,323.303
1968,324.231
1969,325.161
1970,326.095
1971,327.032
1972,327.973
1973,328.916
1974,329.863
1975,330.813
1976,331.766
1977,332.722
1978,333.682
1979,334.645
1980,335.611
1981,336.580
1982,337.553
1983,338.529
1984,339.508
1985,340.490
1986,341.475
1987,342.464
1988,343.456
1989,344.451
1990,345.450
1991,346.451
1992,347.456
1993,348.464
1994,349.475
1995,350.490
1996,351.507
1997,352.528
1998,353.553
1999,354.580
2000,355.611
2001,356.644
2002,357.681
2003,358.722
2004,359.765
2005,360.812
2006,361.862
2007,362.915
2008,363.972
2009,365.031
2010,366.094
2011,367.160
2012,368.229
2013,369.302
2014,370.378
2015,371.457
2016,372.539
2017,373.624
2018,374.713
2019,375.805
2020,376.900
