# SYNTHETIC FIXTURE - generated deterministically for this project's tests
age_bp,co2_ppm
10000,260.000
9900,260.200
9800,260.400
9700,260.600
9600,260.800
9500,261.000
9400,261.200
9300,261.400
9200,261.600
9100,261.800
9000,262.000
8900,262.200
8800,262.400
8700,262.600
8600,262.800
8500,263.000
8400,263.200
8300,263.400
8200,263.600
8100,263.800
8000,264.000
7900,264.200
7800,264.400
7700,264.600
7600,264.800
7500,265.000
7400,265.200
7300,265.400
7200,265.600
7100,265.800
7000,266.000
6900,266.200
6800,266.400
6700,266.600
6600,266.800
6500,267.000
6400,267.200
6300,267.400
6200,267.600
6100,267.800
6000,268.000
5900,268.200
5800,268.400
5700,268.600
5600,268.800
5500,269.000
5400,269.200
5300,269.400
5200,269.600
5100,269.800
5000,270.000
4900,270.200
4800,270.400
4700,270.600
4600,270.800
4500,271.000
4400,271.200
4300,271.400
4200,271.600
4100,271.800
4000,272.000
3900,272.200
3800,272.400
3700,272.600
3600,272.800
3500,273.000
3400,273.200
3300,273.400
3200,273.600
3100,273.800
3000,274.000
2900,274.200
2800,274.400
2700,274.600
2600,274.800
2500,275.000
2400,275.200
2300,275.400
2200,275.600
2100,275.800
2000,276.000
1900,276.200
1800,276.400
1700,276.600
1600,276.800
1500,277.000
1400,277.200
1300,277.400
1200,277.600
1100,277.800
1000,278.000
900,278.200
800,278.400
700,278.600
600,278.800
500,279.000
400,279.200
300,279.400
200,279.600
100,279.800
0,280.000
-10,280.020
-20,280.040
-30,280.060
