# SYNTHETIC FIXTURE - generated deterministically for this project's tests
year,co2_emissions_mt
1850,10.00
1851,10.30
1852,10.62
1853,10.94
1854,11.27
1855,11.62
1856,11.97
1857,12.34
1858,12.71
1859,13.10
1860,13.50
1861,13.91
1862,14.33
1863,14.77
1864,15.22
1865,15.68
1866,16.16
1867,16.65
1868,17.16
1869,17.68
1870,18.22
1871,18.78
1872,19.35
1873,19.94
1874,20.54
1875,21.17
1876,21.81
1877,22.48
1878,23.16
1879,23.87
1880,24.60
1881,25.35
1882,26.12
1883,26.91
1884,27.73
1885,28.58
1886,29.45
1887,30.34
1888,31.27
1889,32.22
1890,33.20
1891,34.21
1892,35.25
1893,36.33
1894,37.43
1895,38.57
1896,39.75
1897,40.96
1898,42.21
1899,43.49
1900,44.82
1901,46.18
1902,47.59
1903,49.04
1904,50.53
1905,52.07
1906,53.66
1907,55.29
1908,56.97
1909,58.71
1910,60.50
1911,62.34
1912,64.24
1913,66.19
1914,68.21
1915,70.29
1916,72.43
1917,74.63
1918,76.91
1919,79.25
1920,81.66
1921,84.15
1922,86.71
1923,89.35
1924,92.07
1925,94.88
1926,97.77
1927,100.74
1928,103.81
1929,106.97
1930,110.23
1931,113.59
1932,117.05
1933,120.61
1934,124.29
1935,128.07
1936,131.97
1937,135.99
1938,140.13
1939,144.40
1940,148.80
1941,153.33
1942,158.00
1943,162.81
1944,167.77
1945,172.88
1946,178.14
1947,183.57
1948,189.16
1949,194.92
1950,200.86
1951,206.97
1952,213.28
1953,219.77
1954,226.46
1955,233.36
1956,240.47
1957,247.79
1958,255.34
1959,263.11
1960,271.13
1961,279.38
1962,287.89
1963,296.66
1964,305.69
1965,315.00
1966,324.60
1967,334.48
1968,344.67
1969,355.17
1970,365.98
1971,377.13
1972,388.61
1973,400.45
1974,412.64
1975,425.21
1976,438.16
1977,451.50
1978,465.25
1979,479.42
1980,494.02
1981,509.07
1982,524.57
1983,540.55
1984,557.01
1985,573.97
1986,591.45
1987,609.47
1988,628.03
1989,647.15
1990,666.86
1991,687.17
1992,708.10
1993,729.66
1994,751.89
1995,774.78
1996,798.38
1997,822.69
1998,847.75
1999,873.57
2000,900.17
2001,927.59
2002,955.83
2003,984.94
2004,1014.94
2005,1045.85
2006,1077.70
2007,1110.52
2008,1144.34
2009,1179.19
2010,1215.10
2011,1252.11
2012,1290.24
2013,1329.54
2014,1370.03
2015,1411.75
2016,1454.74
2017,1499.05
2018,1544.70
2019,1591.74
2020,1640.22
