# SYNTHETIC FIXTURE - generated deterministically for this project's tests
year,temp_anomaly_c
1880,-0.3000
1881,-0.2457
1882,-0.2052
1883,-0.1878
1884,-0.1955
1885,-0.2225
1886,-0.2565
1887,-0.2835
1888,-0.2912
1889,-0.2738
1890,-0.2333
1891,-0.1790
1892,-0.1247
1893,-0.0842
1894,-0.0668
1895,-0.0745
1896,-0.1015
1897,-0.1355
1898,-0.1625
1899,-0.1702
1900,-0.1528
1901,-0.1123
1902,-0.0580
1903,-0.0037
1904,0.0368
1905,0.0542
1906,0.0465
1907,0.0195
1908,-0.0145
1909,-0.0415
1910,-0.0492
1911,-0.0318
1912,0.0087
1913,0.0630
1914,0.1173
1915,0.1578
1916,0.1752
1917,0.1675
1918,0.1405
1919,0.1065
1920,0.0795
1921,0.0718
1922,0.0892
1923,0.1297
1924,0.1840
1925,0.2383
1926,0.2788
1927,0.2962
1928,0.2885
1929,0.2615
1930,0.2275
1931,0.2005
1932,0.1928
1933,0.2102
1934,0.2507
1935,0.3050
1936,0.3593
1937,0.3998
1938,0.4172
1939,0.4095
1940,0.3825
1941,0.3485
1942,0.3215
1943,0.3138
1944,0.3312
1945,0.3717
1946,0.4260
1947,0.4803
1948,0.5208
1949,0.5382
1950,0.5305
1951,0.5035
1952,0.4695
1953,0.4425
1954,0.4348
1955,0.4522
1956,0.4927
1957,0.5470
1958,0.6013
1959,0.6418
1960,0.6592
1961,0.6515
1962,0.6245
1963,0.5905
1964,0.5635
1965,0.5558
1966,0.5732
1967,0.6137
1968,0.6680
1969,0.7223
1970,0.7628
1971,0.7802
1972,0.7725
1973,0.7455
1974,0.7115
1975,0.6845
1976,0.6768
1977,0.6942
1978,0.7347
1979,0.7890
1980,0.8433
1981,0.8838
1982,0.9012
1983,0.8935
1984,0.8665
1985,0.8325
1986,0.8055
1987,0.7978
1988,0.8152
1989,0.8557
1990,0.9100
1991,0.9643
1992,1.0048
1993,1.0222
1994,1.0145
1995,0.9875
1996,0.9535
1997,0.9265
1998,0.9188
1999,0.9362
2000,0.9767
2001,1.0310
2002,1.0853
2003,1.1258
2004,1.1432
2005,1.1355
2006,1.1085
2007,1.0745
2008,1.0475
2009,1.0398
2010,1.0572
2011,1.0977
2012,1.1520
2013,1.2063
2014,1.2468
2015,1.2642
2016,1.2565
2017,1.2295
2018,1.1955
2019,1.1685
2020,1.1608
