# SYNTHETIC FIXTURE - generated deterministically for this project's tests
age_bp,temp_anomaly_c
12000,-0.2665
11900,-0.2620
11800,-0.2573
11700,-0.2523
11600,-0.2470
11500,-0.2415
11400,-0.2358
11300,-0.2298
11200,-0.2237
11100,-0.2173
11000,-0.2107
10900,-0.2039
10800,-0.1969
10700,-0.1898
10600,-0.1825
10500,-0.1750
10400,-0.1674
10300,-0.1596
10200,-0.1517
10100,-0.1437
10000,-0.1355
9900,-0.1273
9800,-0.1189
9700,-0.1105
9600,-0.1020
9500,-0.0934
9400,-0.0848
9300,-0.0761
9200,-0.0674
9100,-0.0587
9000,-0.0500
8900,-0.0413
8800,-0.0326
8700,-0.0239
8600,-0.0152
8500,-0.0066
8400,0.0020
8300,0.0105
8200,0.0189
8100,0.0273
8000,0.0355
7900,0.0437
7800,0.0517
7700,0.0596
7600,0.0674
7500,0.0750
7400,0.0825
7300,0.0898
7200,0.0969
7100,0.1039
7000,0.1107
6900,0.1173
6800,0.1237
6700,0.1298
6600,0.1358
6500,0.1415
6400,0.1470
6300,0.1523
6200,0.1573
6100,0.1620
6000,0.1665
5900,0.1707
5800,0.1747
5700,0.1784
5600,0.1818
5500,0.1849
5400,0.1878
5300,0.1903
5200,0.1926
5100,0.1945
5000,0.1962
4900,0.1976
4800,0.1986
4700,0.1994
4600,0.1998
4500,0.2000
4400,0.1998
4300,0.1994
4200,0.1986
4100,0.1976
4000,0.1962
3900,0.1945
3800,0.1926
3700,0.1903
3600,0.1878
3500,0.1849
3400,0.1818
3300,0.1784
3200,0.1747
3100,0.1707
3000,0.1665
2900,0.1620
2800,0.1573
2700,0.1523
2600,0.1470
2500,0.1415
2400,0.1358
2300,0.1298
2200,0.1237
2100,0.1173
2000,0.1107
1900,0.1039
1800,0.0969
1700,0.0898
1600,0.0825
1500,0.0750
1400,0.0674
1300,0.0596
1200,0.0517
1100,0.0437
1000,0.0355
900,0.0273
800,0.0189
700,0.0105
600,0.0020
500,-0.0066
400,-0.0152
300,-0.0239
200,-0.0326
100,-0.0413
0,-0.0500
